DOEID,REGIONC,TYPEHUQ,YEARMADERANGE,TOTSQFT_EN,WALLTYPE,ROOFTYPE,ADQINSUL,HHSEX,HHAGE,EMPLOYHH,MONEYPY,KWH,NWEIGHT
100001,WEST,2,4,2100,1,5,2,1,65,3,13,12521.48,3284.103668
100002,SOUTH,5,5,590,1,-2,2,1,79,3,6,5243.05,9007.387471
100003,WEST,5,3,900,1,-2,2,2,82,3,11,2387.64,5669.002142
100004,SOUTH,2,5,2100,3,5,2,2,70,3,10,9275.07,5294.239003
100005,NORTHEAST,5,3,800,7,-2,2,2,30,1,16,5869.7,9935.465114
100006,SOUTH,2,6,4520,1,5,1,1,54,4,15,14351.64,7249.539562
100007,SOUTH,2,2,2100,1,5,3,1,40,4,11,14480.35,5683.680015
100008,SOUTH,5,7,900,3,-2,2,1,51,4,8,12147.3,9700.254323
100009,SOUTH,5,7,750,7,-2,2,1,32,1,14,3969.96,1235.682565
100010,WEST,5,5,760,4,-2,2,2,58,1,9,3632.4,7084.270926
100011,WEST,2,4,1630,4,1,2,1,69,2,12,7634.39,9945.375472
100012,SOUTH,2,8,1540,2,2,2,1,53,1,7,9657.64,11680.48234
100013,SOUTH,2,4,2000,1,5,2,2,63,1,13,9639.93,4740.842366
100014,MIDWEST,2,2,1450,1,5,2,2,59,4,2,8967.17,6151.135658
100015,NORTHEAST,2,2,1650,2,3,3,1,64,2,11,3524.72,1145.649969
100016,WEST,3,3,1350,4,5,1,1,22,4,9,9922.22,8255.399166
100017,NORTHEAST,2,5,1910,2,5,1,2,84,3,16,9002.87,1911.972445
100018,WEST,2,6,2650,4,5,2,2,83,3,16,5774.08,3820.966395
100019,SOUTH,3,4,1980,6,5,2,1,28,1,9,9972.38,2794.924065
100020,SOUTH,2,3,1300,2,3,1,2,20,4,14,15768.8,5876.501535
100021,MIDWEST,3,3,1850,1,5,3,1,66,4,2,1594.69,3794.433489
100022,MIDWEST,5,4,1130,7,-2,1,2,51,1,15,6443.51,11911.22283
100023,NORTHEAST,2,7,2730,3,5,2,1,61,2,16,11015.2,2147.068599
100024,MIDWEST,2,6,2640,2,5,2,1,83,3,14,9956.64,1997.948751
100025,MIDWEST,2,1,1430,3,5,3,2,43,4,1,5103.92,8953.752086
100026,NORTHEAST,2,5,2440,2,5,2,1,28,4,15,12737.88,3895.486368
100027,MIDWEST,2,7,3000,3,5,1,2,28,1,16,9976.59,5349.089118
100028,NORTHEAST,2,1,1490,2,4,3,2,74,3,9,10247.86,5466.392437
100029,SOUTH,2,6,1810,4,5,1,1,69,3,9,15747.04,11170.43609
100030,MIDWEST,2,4,2500,3,5,2,2,75,3,12,11907.74,11212.66026
100031,NORTHEAST,2,2,2850,2,5,2,1,70,3,15,5930.6,1983.539682
100032,MIDWEST,2,3,1980,3,5,2,1,59,1,13,8819.63,3585.160313
100033,WEST,2,8,5450,4,1,2,1,44,1,13,26763.69,5410.414294
100034,MIDWEST,2,1,2750,3,5,2,1,49,2,16,11758.93,7119.946704
100035,NORTHEAST,2,2,2700,2,5,2,1,71,3,11,9666.78,1067.410998
100036,SOUTH,2,2,1600,1,5,2,1,39,1,15,8167.71,5970.47159
100037,MIDWEST,3,5,2250,3,5,2,1,80,3,14,4423.71,3891.503648
100038,SOUTH,2,2,3300,1,5,2,1,41,1,16,22773.26,6167.440715
100039,WEST,3,4,1700,3,5,2,2,83,3,12,1721.15,877.1000132
100040,NORTHEAST,2,4,1950,3,5,1,1,68,3,11,13836.75,7647.05774
100041,SOUTH,2,8,2000,1,5,2,1,41,1,16,13253.26,6945.999959
100042,WEST,2,2,2000,2,99,4,1,54,1,14,5712.82,1346.27428
100043,WEST,1,4,780,5,5,3,1,68,3,9,5938.58,10626.26145
100044,NORTHEAST,2,1,820,2,5,2,2,80,3,13,4134.59,3421.558617
100045,MIDWEST,2,7,2100,3,5,2,1,35,1,15,6002.88,12620.00183
100046,WEST,2,1,1500,4,5,2,1,75,3,15,9658.17,18405.90357
100047,SOUTH,3,7,1300,1,6,1,1,43,1,14,9046.21,3763.254
100048,NORTHEAST,3,9,1560,4,2,4,1,40,4,11,5265.1,5958.791143
100049,SOUTH,3,6,1100,1,5,1,2,36,1,9,9367.16,6859.914642
100050,WEST,2,6,2800,4,5,3,2,51,1,14,4579.27,4845.045394
100051,MIDWEST,2,6,3750,1,5,2,1,68,2,15,13204.43,10710.88307
100052,SOUTH,2,5,3230,3,5,2,2,60,1,16,4540.79,6669.754112
100053,SOUTH,3,1,1400,1,5,2,1,28,1,15,7159.45,4376.791937
100054,MIDWEST,1,4,900,3,3,2,1,45,1,11,8370.64,8834.153305
100055,WEST,2,6,5510,4,3,1,2,73,3,15,8654.3,5251.665048
100056,SOUTH,2,3,2000,1,5,2,1,40,1,9,9227.24,7002.219737
100057,NORTHEAST,4,8,700,4,4,1,2,29,1,14,4472.09,8759.661884
100058,MIDWEST,2,4,1730,1,5,1,2,70,3,15,12365.78,6502.662979
100059,SOUTH,4,6,750,3,3,2,1,46,3,5,7836.28,4942.394337
100060,WEST,2,5,2050,2,5,2,1,82,3,9,5894.3,4712.862955
100061,NORTHEAST,3,7,1020,2,2,4,2,32,1,2,11449.39,7916.645423
100062,MIDWEST,5,8,980,3,-2,1,2,40,1,12,5891.2,1156.131436
100063,WEST,2,1,2070,3,5,1,1,60,1,15,8912.72,10086.11614
100064,SOUTH,1,8,2200,3,5,2,2,62,4,6,25373.39,11842.85795
100065,SOUTH,1,4,600,3,3,3,1,29,4,1,7195.98,3992.369722
100066,SOUTH,2,4,2100,2,5,2,2,56,1,16,38330.12,10309.56678
100067,NORTHEAST,2,6,1800,3,5,2,1,41,2,13,9096.26,1529.249906
100068,NORTHEAST,2,3,2000,3,5,3,2,75,3,12,4561.67,925.4625127
100069,MIDWEST,4,6,1100,3,5,2,1,37,1,12,3311.96,16880.05864
100070,SOUTH,3,1,1550,1,5,1,1,66,3,7,4575.84,5454.778564
100071,MIDWEST,5,3,580,1,-2,3,1,50,4,10,4507,1327.288371
100072,SOUTH,5,8,1150,3,-2,1,1,26,4,8,7006.92,6032.331781
100073,WEST,2,3,2560,2,5,1,2,48,4,10,16490.73,6131.11924
100074,SOUTH,2,5,1350,7,6,3,2,37,1,16,15916.95,10620.35271
100075,MIDWEST,2,2,2760,1,4,3,2,72,3,11,18144.38,8892.478443
100076,NORTHEAST,5,5,900,1,-2,2,1,89,3,11,2176.19,9338.230985
100077,SOUTH,4,7,1800,4,5,1,1,36,1,13,9729.96,11584.38762
100078,WEST,5,4,900,1,-2,2,2,63,3,9,4721.91,9808.44257
100079,NORTHEAST,3,4,1220,5,4,2,1,53,1,10,7283.7,2521.599409
100080,SOUTH,2,4,1500,1,5,2,2,46,1,15,3575.66,8662.838856
100081,MIDWEST,5,4,760,1,-2,2,2,72,3,4,6160.09,1508.194576
100082,NORTHEAST,1,4,920,7,3,3,2,62,3,3,4773.89,2898.678963
100083,SOUTH,2,2,2200,3,5,2,1,66,3,11,13624.39,7023.292838
100084,MIDWEST,2,2,670,3,5,2,1,24,1,13,12056.92,6822.52145
100085,MIDWEST,2,6,2550,3,5,2,2,70,3,14,6398.78,17633.72207
